#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
259937	6446	10645	112344	115889	RP1-188K17.1	-	SGK1	CAMKK2	SGK	CAMKK|CAMKKB	Affinity Capture-Western	physical	Imai S (2003)	PUBMED:12628440	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00141	E9PR89|B7Z325	NP_001137150|NP_001278924|NP_001137148|NP_005618|NP_001137149	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280998	8536	10645	114106	115889	-	-	CAMK1	CAMKK2	CAMKI	CAMKK|CAMKKB	Biochemical Activity	physical	Matsushita M (1999)	PUBMED:10187789	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q14012	B0YIY3	NP_003647	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280999	5566	10645	111553	115889	-	-	PRKACA	CAMKK2	PKACA	CAMKK|CAMKKB	Biochemical Activity	physical	Matsushita M (1999)	PUBMED:10187789	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17612	A0A024R7J0	NP_001291278|NP_002721|NP_997401	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	-	-	-	-	-	-	Homo sapiens	Homo sapiens
446024	10645	23363	115889	116944	-	-	CAMKK2	OBSL1	CAMKK|CAMKKB	-	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	O75147	Q9H8B3	NP_001166902|NP_056126|NP_001166879	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446025	10645	801	115889	107252	-	-	CAMKK2	CALM1	CAMKK|CAMKKB	CALML2|CAMI|CPVT4|DD132|PHKD|caM	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	P62158	B4DJ51|E7ETZ0	NP_001350598|NP_001350599|NP_008819	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446026	10645	2318	115889	108607	-	-	CAMKK2	FLNC	CAMKK|CAMKKB	ABP-280|ABP280A|ABPA|ABPL|FLN2|MFM5|MPD4	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	Q14315	Q59H94	NP_001120959|NP_001449	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446027	10645	5563	115889	111550	-	-	CAMKK2	PRKAA2	CAMKK|CAMKKB	AMPK|AMPK2|AMPKa2|PRKAA	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	P54646	-	NP_006243	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446028	10645	10985	115889	116181	-	-	CAMKK2	GCN1L1	CAMKK|CAMKKB	GCN1|GCN1L|PRIC295	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	Q92616	-	NP_006827	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446029	10645	11260	115889	116420	-	-	CAMKK2	XPOT	CAMKK|CAMKKB	XPO3	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	O43592	A8KA19	NP_009166	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
446030	10645	10788	115889	116004	-	-	CAMKK2	IQGAP2	CAMKK|CAMKKB	-	Affinity Capture-MS	physical	Behrends C (2010)	PUBMED:20562859	9606	9606	High Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q96RR4	A0A024RBQ0|A0A024RBQ3|A0A024RBP8|A0A024RBP6	NP_001257415|NP_001257414|NP_705720|NP_006540|NP_757363|NP_757364|NP_757365|NP_705719|NP_757380	Q13576	B7Z7U6|B7Z7X2|Q59HA3|F5H7S7	NP_001272391|NP_001272390|NP_006624|NP_001272389	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
