#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
244055	4436	1111	110573	107536	-	-	MSH2	CHEK1	COCA1|FCC1|HNPCC|HNPCC1|LCFS2	CHK1	Affinity Capture-Western	physical	Adamson AW (2005)	PUBMED:15647386	9606	9606	Low Throughput	-	-	Chk1 and Chk2 interact with the MMR protein MSH2 and this interaction is enhanced following MNNG exposure, supporting the notion that the MMR system functions as a molecular scaffold at the sites of DNA damage	-	BIOGRID	P43246	E9PHA6	NP_000242|NP_001245210	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244057	1111	993	107536	107428	-	-	CHEK1	CDC25A	CHK1	CDC25A2	Reconstituted Complex	physical	Goloudina A (2003)	PUBMED:12963847	9606	9606	Low Throughput	-	-	Chk1 kinase regulates Cdc25A stability after UV irradiation; phosphorylates S75 and S123 in vitro.	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P30304	D8KXX0|A0A024R2R6|A0A024R2S4|K7N7S0	NP_001780|NP_963861	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244058	1111	1457	107536	107841	-	-	CHEK1	CSNK2A1	CHK1	CK2A1|CKII|CSNK2A3	Reconstituted Complex	physical	Kristensen LP (2004)	PUBMED:15225637	9606	9606	Low Throughput	-	-	Chk1 specifically phosphorylates in vitro the regulatory beta-subunit of CK2. Chymotryptic peptides and mutational analyses have revealed that CK2beta is phosphorylated at Thr213	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P68400	-	NP_808228|NP_001886|NP_001349700|NP_001349699|NP_808227	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244067	1457	1111	107841	107536	-	-	CSNK2A1	CHEK1	CK2A1|CKII|CSNK2A3	CHK1	Affinity Capture-Western	physical	Guerra B (2003)	PUBMED:12902976	9606	9606	Low Throughput	-	-	CK2beta is found to interact with the human cell cycle checkpoint kinase Chk1. The Chk1-interacting region of CK2beta is localized at the C-terminus and the complex between CK2beta and Chk1 is devoid of the catalytic CK2alpha-subunit	-	BIOGRID	P68400	-	NP_808228|NP_001886|NP_001349700|NP_001349699|NP_808227	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244794	1111	2810	107536	109072	-	-	CHEK1	SFN	CHK1	YWHAS	Affinity Capture-Western	physical	Tian H (2002)	PUBMED:11896572	9606	9606	Low Throughput	-	-	Radiation-induced phosphorylation of Chk1 at S345 was associated with binding of Chk1 to p53, p21, and 14-3-3 sigma, and that UCN-01 inhibited S345 phosphorylation	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P31947	-	NP_006133	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244795	1111	1026	107536	107460	-	-	CHEK1	CDKN1A	CHK1	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	Affinity Capture-Western	physical	Tian H (2002)	PUBMED:11896572	9606	9606	Low Throughput	-	-	Radiation-induced phosphorylation of Chk1 at S345 was associated with binding of Chk1 to p53, p21, and 14-3-3 sigma, and that UCN-01 inhibited S345 phosphorylation	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P38936	A0A024RCX5	NP_001361441|NP_000380|NP_001361440|NP_001361442|NP_001361439|NP_001361438|NP_001278478|NP_510867|NP_001207706|NP_001207707	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244796	1111	7157	107536	113010	-	-	CHEK1	TP53	CHK1	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Tian H (2002)	PUBMED:11896572	9606	9606	Low Throughput	-	-	Radiation-induced phosphorylation of Chk1 at S345 was associated with binding of Chk1 to p53, p21, and 14-3-3 sigma, and that UCN-01 inhibited S345 phosphorylation	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244992	1111	641	107536	107110	-	-	CHEK1	BLM	CHK1	BS|RECQ2|RECQL2|RECQL3	Affinity Capture-Western	physical	Sengupta S (2004)	PUBMED:15364958	9606	9606	Low Throughput	-	-	The active Chk1 kinase was essential for both the accurate focal colocalization of 53BP1 with BLM and the consequent stabilization of BLM	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244993	1111	641	107536	107110	-	-	CHEK1	BLM	CHK1	BS|RECQ2|RECQL2|RECQL3	Co-localization	physical	Sengupta S (2004)	PUBMED:15364958	9606	9606	Low Throughput	-	-	The active Chk1 kinase was essential for both the accurate focal colocalization of 53BP1 with BLM and the consequent stabilization of BLM	-	BIOGRID	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244994	7157	1111	113010	107536	-	-	TP53	CHEK1	BCC7|LFS1|P53|TRP53	CHK1	Co-localization	physical	Sengupta S (2004)	PUBMED:15364958	9606	9606	Low Throughput	-	-	The active Chk1 kinase was essential for both the accurate focal colocalization of 53BP1 with BLM and the consequent stabilization of BLM	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	O14757	B4DT73	NP_001231775|NP_001107593|NP_001317357|NP_001317356|NP_001107594|NP_001265	-	-	-	-	-	-	Homo sapiens	Homo sapiens
