#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
251989	5578	476	111564	106966	-	RP4-655J12.1	PRKCA	ATP1A1	AAG6|PKC-alpha|PKCA|PRKACA	-	Biochemical Activity	physical	Al-Khalili L (2004)	PUBMED:15069082	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P05023	-	NP_001153705|NP_001153706|NP_000692	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252629	5578	22927	111564	116587	-	RP11-172F4.4	PRKCA	HABP4	AAG6|PKC-alpha|PKCA|PRKACA	IHABP-4|IHABP4|Ki-1/57|SERBP1L	Biochemical Activity	physical	Nery FC (2004)	PUBMED:14699138	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	Q5JVS0	-	NP_055097	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252902	5578	9421	111564	114814	-	-	PRKCA	HAND1	AAG6|PKC-alpha|PKCA|PRKACA	Hxt|Thing1|bHLHa27|eHand	Biochemical Activity	physical	Firulli BA (2003)	PUBMED:14636580	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	O96004	-	NP_004812	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252903	5578	9464	111564	114850	-	-	PRKCA	HAND2	AAG6|PKC-alpha|PKCA|PRKACA	DHAND2|Hed|Thing2|bHLHa26|dHand	Biochemical Activity	physical	Firulli BA (2003)	PUBMED:14636580	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P61296	-	NP_068808	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253470	5578	6624	111564	112508	-	-	PRKCA	FSCN1	AAG6|PKC-alpha|PKCA|PRKACA	FAN1|HSN|SNL|p55	Affinity Capture-Western	physical	Anilkumar N (2003)	PUBMED:14532112	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	Q16658	B3KTA3	NP_003079	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253472	6624	5578	112508	111564	-	-	FSCN1	PRKCA	FAN1|HSN|SNL|p55	AAG6|PKC-alpha|PKCA|PRKACA	Reconstituted Complex	physical	Anilkumar N (2003)	PUBMED:14532112	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q16658	B3KTA3	NP_003079	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255991	5578	1956	111564	108276	-	-	PRKCA	EGFR	AAG6|PKC-alpha|PKCA|PRKACA	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	Affinity Capture-Western	physical	Gauthier ML (2003)	PUBMED:12878187	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255992	1956	5578	108276	111564	-	-	EGFR	PRKCA	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Gauthier ML (2003)	PUBMED:12878187	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P00533	-	NP_001333829|NP_001333828|NP_958440|NP_005219|NP_001333827|NP_001333826|NP_958441|NP_001333870|NP_958439	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256292	6505	5578	112396	111564	RP11-6J24.1	-	SLC1A1	PRKCA	DCBXA|EAAC1|EAAT3|SCZD18	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Gonzalez MI (2003)	PUBMED:12843260	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P43005	-	NP_004161	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
256368	5578	5337	111564	111353	-	-	PRKCA	PLD1	AAG6|PKC-alpha|PKCA|PRKACA	-	Affinity Capture-Western	physical	Oka M (2003)	PUBMED:12839565	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	Q13393	Q59EA4	NP_002653|NP_001123553	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259307	5578	688	111564	107153	-	RP11-505F3.5	PRKCA	KLF5	AAG6|PKC-alpha|PKCA|PRKACA	BTEB2|CKLF|IKLF	Biochemical Activity	physical	Zhang Z (2003)	PUBMED:12682370	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	Q13887	A2TJX0|Q5T6X2	NP_001721|NP_001273747	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260423	2562	5578	108836	111564	-	-	GABRB3	PRKCA	ECA5	AAG6|PKC-alpha|PKCA|PRKACA	Reconstituted Complex	physical	Brandon NJ (2003)	PUBMED:12595241	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P28472	X5DQY4|B2RCW8	NP_068712|NP_001178249|NP_001265560|NP_001178250|NP_000805	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262835	5578	4255	111564	110411	-	RP11-109A6.1	PRKCA	MGMT	AAG6|PKC-alpha|PKCA|PRKACA	-	Biochemical Activity	physical	Srivenugopal KS (2000)	PUBMED:10667577	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P16455	B4DEE8	NP_002403	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275147	5338	5578	111354	111564	-	-	PLD2	PRKCA	-	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Slaaby R (2000)	PUBMED:11042115	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14939	-	NP_001230037|NP_002654	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275202	5578	9463	111564	114849	-	RP5-1039K5.11-004	PRKCA	PICK1	AAG6|PKC-alpha|PKCA|PRKACA	PICK|PRKCABP	Affinity Capture-Western	physical	Dev KK (2000)	PUBMED:11007882	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	Q9NRD5	A0A024R1J5	NP_036539|NP_001034672|NP_001034673	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275203	5578	2917	111564	109174	-	-	PRKCA	GRM7	AAG6|PKC-alpha|PKCA|PRKACA	GLUR7|GPRC1G|MGLU7|MGLUR7|PPP1R87	Affinity Capture-Western	physical	Dev KK (2000)	PUBMED:11007882	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	Q14831	B9EGG9|Q59G95|B2R693	NP_000835|NP_870989	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276447	9590	5578	114958	111564	-	-	AKAP12	PRKCA	AKAP250|SSeCKS	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Grove BD (2001)	PUBMED:11316952	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02952	Q86TJ9	NP_005091|NP_653080|NP_001357275	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279890	5578	2697	111564	108964	-	-	PRKCA	GJA1	AAG6|PKC-alpha|PKCA|PRKACA	AVSD3|CMDR|CX43|GJAL|HLHS1|HSS|ODDD	Affinity Capture-Western	physical	Bowling N (2001)	PUBMED:11273731	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P17302	-	NP_000156	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280346	5578	7532	111564	113364	-	-	PRKCA	YWHAG	AAG6|PKC-alpha|PKCA|PRKACA	14-3-3GAMMA|PPP1R170	Affinity Capture-Western	physical	Autieri MV (1999)	PUBMED:10433554	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P61981	-	NP_036611	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280880	708	5578	107169	111564	-	-	C1QBP	PRKCA	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	AAG6|PKC-alpha|PKCA|PRKACA	Reconstituted Complex	physical	Storz P (2000)	PUBMED:10831594	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q07021	-	NP_001203	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
280883	708	5578	107169	111564	-	-	C1QBP	PRKCA	GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32	AAG6|PKC-alpha|PKCA|PRKACA	Affinity Capture-Western	physical	Storz P (2000)	PUBMED:10831594	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q07021	-	NP_001203	P17252	Q7Z727	NP_002728	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282739	5578	552	111564	107033	-	-	PRKCA	AVPR1A	AAG6|PKC-alpha|PKCA|PRKACA	AVPR V1a|AVPR1|V1aR	Affinity Capture-Western	physical	Berrada K (2000)	PUBMED:10858434	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P37288	X5D2B0	NP_000697	-	-	-	-	-	-	Homo sapiens	Homo sapiens
282741	5578	553	111564	107034	-	-	PRKCA	AVPR1B	AAG6|PKC-alpha|PKCA|PRKACA	AVPR3	Affinity Capture-Western	physical	Berrada K (2000)	PUBMED:10858434	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P47901	-	NP_000698	-	-	-	-	-	-	Homo sapiens	Homo sapiens
287945	5578	2932	111564	109187	-	-	PRKCA	GSK3B	AAG6|PKC-alpha|PKCA|PRKACA	-	Biochemical Activity	physical	Goode N (1992)	PUBMED:1324914	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P49841	Q6FI27	NP_001139628|NP_001341525|NP_002084	-	-	-	-	-	-	Homo sapiens	Homo sapiens
297036	5578	5997	111564	111929	-	GIG31	PRKCA	RGS2	AAG6|PKC-alpha|PKCA|PRKACA	G0S8	Biochemical Activity	physical	Cunningham ML (2001)	PUBMED:11063746	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P41220	A0A024R939	NP_002914	-	-	-	-	-	-	Homo sapiens	Homo sapiens
303650	5578	4968	111564	111018	-	-	PRKCA	OGG1	AAG6|PKC-alpha|PKCA|PRKACA	HMMH|HOGG1|MUTM|OGH1	Affinity Capture-Western	physical	Dantzer F (2002)	PUBMED:12034821	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P17252	Q7Z727	NP_002728	O15527	E5KPM6|E5KPN1|E5KPM9|E5KPM5|E5KPM7|E5KPM8|E5KPN0	NP_002533|NP_058212|NP_058213|NP_058214|NP_058434|NP_058436|NP_058437|NP_058438	-	-	-	-	-	-	Homo sapiens	Homo sapiens
